板块,公司全称,英文名称,A股代码,A股简称,A股上市日期,B股代码,B股简称,B股上市日期,所属行业
主板,深圳南山热电股份有限公司,"SHENZHEN NANSHAN POWER STATION CO.,LTD",000037,深南电A,1994-07-01,200037,深南电B,1994-11-28,D 水电煤气
主板,深圳市纺织(集团)股份有限公司,"SHENZHEN TEXTILE (HOLDINGS) CO., LTD",000045,深纺织Ａ,1994-08-15,200045,深纺织Ｂ,1994-08-15,C 制造业
主板,重庆建设汽车系统股份有限公司,"Chongqing Jianshe Vehicle System Co., Ltd",,,,200054,建车B,1995-07-25,C 制造业
主板,方大集团股份有限公司,"CHINA FANGDA GROUP CO., LTD",000055,方大集团,1996-04-15,200055,方大Ｂ,1995-11-29,C 制造业
主板,深圳市皇庭国际企业股份有限公司,"SHENZHEN WONGTEE INTERNATIONAL ENTERPRISE CO., LTD.",000056,皇庭国际,1996-07-08,200056,皇庭B,1995-10-30,L 商务服务
主板,深圳赛格股份有限公司,"SHENZHEN SEG CO.,LTD",000058,深 赛 格,1996-12-26,200058,深赛格B,1996-07-22,L 商务服务
主板,山东航空股份有限公司,"SHANDONG AIRLINES CO.,LTD",,,,200152,山  航Ｂ,2000-09-12,G 运输仓储
主板,广东舜喆（集团）股份有限公司,GUANGDONG JADIETE HOLDINGS GROUP COMPANY LIMITED,,,,200168,*ST舜喆B,2000-10-27,K 房地产
主板,东旭光电科技股份有限公司,"Tunghsu Optoelectronic Technology Co., Ltd.",000413,东旭光电,1996-09-25,200413,东旭B,1996-07-08,C 制造业
主板,广东省高速公路发展股份有限公司,"GUANGDONG PROVINCIAL EXPRESSWAY DEVELOPMENT CO.,LTD",000429,粤高速Ａ,1998-02-20,200429,粤高速Ｂ,1996-08-15,G 运输仓储
主板,南京普天通信股份有限公司,"NANJING PUTIAN TELECOMMUNICATIONS CO., LTD",,,,200468,宁通信B,1997-05-22,C 制造业
主板,山东晨鸣纸业集团股份有限公司,"SHANDONG CHENMING PAPER HOLDINGS CO.,LTD",000488,晨鸣纸业,2000-11-20,200488,晨  鸣Ｂ,1997-05-26,C 制造业
主板,海南京粮控股股份有限公司,"Hainan Jingliang Holdings Co., Ltd.",000505,京粮控股,1992-12-21,200505,京粮B,1995-06-29,C 制造业
主板,厦门灿坤实业股份有限公司,"TSANN KUEN(CHINA)ENTERPRISE CO.,LTD",,,,200512,闽灿坤Ｂ,1993-06-30,C 制造业
主板,长虹美菱股份有限公司,"CHANGHONG MEILING CO.,LTD.",000521,长虹美菱,1993-10-18,200521,虹美菱B,1996-08-28,C 制造业
主板,冰山冷热科技股份有限公司,"Bingshan Refrigeration & Heat Transfer Technologies Co.,Ltd.",000530,冰山冷热,1993-12-08,200530,冰山B,1998-03-20,C 制造业
主板,广东电力发展股份有限公司,"GUANGDONG ELECTRIC POWER DEVELOPMENT CO., LTD",000539,粤电力Ａ,1993-11-26,200539,粤电力Ｂ,1995-06-28,D 水电煤气
主板,佛山电器照明股份有限公司,"FOSHAN ELECTRICAL AND LIGHTING CO., LTD",000541,佛山照明,1993-11-23,200541,粤照明Ｂ,1995-08-08,C 制造业
主板,江铃汽车股份有限公司,"JIANGLING MOTORS CO., LTD",000550,江铃汽车,1993-12-01,200550,江  铃Ｂ,1995-09-29,C 制造业
主板,安道麦股份有限公司,ADAMA Ltd.,000553,安道麦A,1993-12-03,200553,安道麦B,1997-05-15,C 制造业
主板,常柴股份有限公司,"CHANGCHAI COMPANY,LIMITED",000570,苏常柴Ａ,1994-07-01,200570,苏常柴Ｂ,1996-09-13,C 制造业
主板,无锡威孚高科技集团股份有限公司,"WEIFU HIGH-TECHNOLOGY GROUP CO.,LTD.",000581,威孚高科,1998-09-24,200581,苏威孚Ｂ,1995-09-11,C 制造业
主板,安徽古井贡酒股份有限公司,"ANHUI GUJING DISTILLERY CO.,LTD",000596,古井贡酒,1996-09-27,200596,古井贡Ｂ,1996-06-12,C 制造业
主板,海南大东海旅游中心股份有限公司,"HAINAN DADONGHAI TOURISM CENTRE (HOLDINGS) CO.,LTD.",000613,大东海A,1997-01-28,200613,大东海B,1996-10-08,H 住宿餐饮
主板,重庆长安汽车股份有限公司,Chongqing Changan Automobile Company Limited,000625,长安汽车,1997-06-10,200625,长  安Ｂ,1996-11-08,C 制造业
主板,瓦房店轴承股份有限公司,WAFANGDIAN BEARING COMPANY LIMITED,,,,200706,瓦轴B,1997-03-25,C 制造业
主板,京东方科技集团股份有限公司,"BOE TECHNOLOGY GROUP CO., LTD",000725,京东方Ａ,2001-01-12,200725,京东方Ｂ,1997-06-10,C 制造业
主板,鲁泰纺织股份有限公司,"LU THAI TEXTILE CO., LTD",000726,鲁  泰Ａ,2000-12-25,200726,鲁  泰Ｂ,1997-08-19,C 制造业
主板,本钢板材股份有限公司,"BENGANG STEEL PLATES CO.,LTD",000761,本钢板材,1998-01-15,200761,本钢板Ｂ,1997-07-08,C 制造业
主板,杭州汽轮机股份有限公司,"HANGZHOU STEAM TURBINE CO.,LTD",,,,200771,杭汽轮Ｂ,1998-04-28,C 制造业
主板,烟台张裕葡萄酿酒股份有限公司,YANTAI CHANGYU PIONEER WINE COMPANY LIMITED,000869,张  裕Ａ,2000-10-26,200869,张  裕Ｂ,1997-09-23,C 制造业
主板,佛山华新包装股份有限公司,"FOSHAN HUAXIN PACKAGING CO.,LTD.",,,,200986,粤华包Ｂ,2000-07-06,C 制造业
主板,山东省中鲁远洋渔业股份有限公司,Shandong Zhonglu Oceanic Fisheries Company Limited,,,,200992,中  鲁Ｂ,2000-07-24,A 农林牧渔
主板,招商局港口集团股份有限公司,"China Merchants Port Group Co., Ltd.",001872,招商港口,1993-05-05,201872,招港B,1993-05-05,G 运输仓储
